交互检查规则,,,,,,,,,,,,,,,,,,
导出规则,,,,,,,,,,,,,,,,,,
分类,基础信息,,,,,,,,,,,,,,,,,
表头,编号,是否是最后一主线任务,引导ID,背景ID,背景音ID,男前置任务编号,男后续任务编号,男任务名称,男任务描述,男任务ID,男NPC对话组ID,女前置任务编号,女后续任务编号,女任务名称,女任务描述,女任务ID,女NPC对话组ID,
砍树5棵,10083,,,,,10082,10084,砍树5棵,小主，我们需要扩充宫内土地以便日后建造新的建筑哦~请小主砍除5棵杂树。,40084,,10082,10084,砍树5棵,小主，我们需要扩充宫内土地以便日后建造新的建筑哦~请小主砍除5棵杂树。,40084,,
除草5块,10084,,,,,10083,10085,除草5块,请小主继续清楚5块杂草。,40085,,10083,10085,除草5块,请小主继续清楚5块杂草。,40085,,
炸小石头5块,10085,,,,,10084,10086,炸小石头5块,如果有杂乱小石块，也请小主一并清除，这样我们宫中方能更加敞亮哟~,40086,,10084,10086,炸小石头5块,如果有杂乱小石块，也请小主一并清除，这样我们宫中方能更加敞亮哟~,40086,,
供养连理枝5次,10086,,,,,10085,10087,供养连理枝5次,小主，连理枝是结拜二人爱的象征，请小主供养连理枝5次。,40087,,10085,10087,供养连理枝5次,小主，连理枝是结拜二人爱的象征，请小主供养连理枝5次。,40087,,
提升技能1次,10087,,,,,10086,10088,提升技能1次,小主，适时地提升自己的技能有助于自己在后宫中根深蒂固哦~,40088,,10086,10088,提升技能1次,小主，适时地提升自己的技能有助于自己在后宫中根深蒂固哦~,40088,,
升官至从六品,10088,,,,,10087,10089,升官至从六品,恭喜小主晋升一级官品，请小主前去领旨谢恩吧！,40089,,10087,10089,升官至从六品,恭喜小主晋升一级官品，请小主前去领旨谢恩吧！,40089,,
升级1个花盆,10089,,,,,10088,10090,升级1个花盆,小主，奴婢听闻皇宫御花园新进贡一批高级花盆，小主快去升级更换1个花盆吧！,40090,,10088,10090,升级1个花盆,小主，奴婢听闻皇宫御花园新进贡一批高级花盆，小主快去升级更换1个花盆吧！,40090,,
合成一朵我心悦你,10090,,,,,10089,10091,合成一朵我心悦你,换上了华美的花盆，也请小主试着合成1朵少见的我心悦你吧！,40091,,10089,10091,合成一朵我心悦你,换上了华美的花盆，也请小主试着合成1朵少见的我心悦你吧！,40091,,
送花我心悦你,10091,,,,,10090,10092,送花我心悦你,我心悦你送给最爱的人，请小主将我心悦你送给伴侣吧！,40092,,10090,10092,送花我心悦你,我心悦你送给最爱的人，请小主将我心悦你送给伴侣吧！,40092,,
进贡2次,10092,,,,,10091,10093,进贡2次,小主，皇上下旨各宫小主均需向西域亲王进贡2件珍宝。,40093,,10091,10093,进贡2次,小主，皇上下旨各宫小主均需向西域亲王进贡2件珍宝。,40093,,
做2单礼单任务,10093,,,,,10092,10094,做5单礼单任务,小主，近日要与各宫妃嫔常常多走动哦~请小主完成2单礼单任务。,40094,,10092,10094,做5单礼单任务,小主，近日要与各宫妃嫔常常多走动哦~请小主完成2单礼单任务。,40094,,
做2单帮派任务,10094,,,,,10093,10098,做2单帮派任务,小主，帮派之间的联络也必不可少哦~请小主完成2单帮派任务。,40095,,10093,10098,做2单帮派任务,小主，帮派之间的联络也必不可少哦~请小主完成2单帮派任务。,40095,,
熔炼1枚高级宝石,10095,1,,,,10094,10098,熔炼1枚高级宝石,小主五级普通宝石已不够我们使用了，请小主使用熔炼炉任意融合一枚5级的高级宝石。,40096,,10094,10098,熔炼1枚高级宝石,小主五级普通宝石已不够我们使用了，请小主使用熔炼炉任意融合一枚五级的高级宝石。,40096,,
建造太液池,20062,,,,,10095,10098,建造太液池,公公提醒小主，近日好多小主在宫中修葺了太液池，小主您也建造一个吧。,41063,,10095,10098,建造太液池,公公提醒小主，近日好多小主在宫中修葺了太液池，小主您也建造一个吧。,41063,,
钓一次鱼,20063,,,,,20062,10098,钓一次鱼,闲来无事，王爷约皇上前去太液池垂钓，皇上特命小主一同前去。,41064,,20062,10098,钓一次鱼,闲来无事，王爷约皇上前去太液池垂钓，皇上特命小主一同前去。,41064,,
建造渔具工作台,20064,,,,,20063,10098,建造一个造渔具的工作台,小主，您可以通过造渔具的工作台制造鱼钩哦~,41065,,20063,10098,建造一个造渔具的工作台,小主，您可以通过造渔具的工作台制造鱼钩哦~,41065,,
造2枚铜鱼钩,20065,,,,,20064,10098,造2枚铜鱼钩,小主，您可以自己打制一些鱼钩以备以后钓鱼时用哦~,41066,,20064,10098,造2枚铜鱼钩,小主，您可以自己打制一些鱼钩以备以后钓鱼时用哦~,41066,,
登陆第二天,10098,,,,,20065,10096,登陆第二天,小主，请您检查登陆二天哦~勤劳的小主才会讨太后欢心。,40099,,20065,10096,登陆第二天,小主，请您检查登陆二天哦~勤劳的小主才会讨太后欢心。,40099,,
收百合花,10096,,,,,10098,10097,收百合花,听闻御花房又有新进贡的香水百合，请小主移步御花房种植百合花。,40100,,10098,10097,收百合花,听闻御花房又有新进贡的香水百合，请小主移步御花房种植百合花。,40100,,
镶嵌1级宝石,10097,,,,,10096,10099,镶嵌1级宝石,小主，多谢小主体恤奴婢们，请为所有仆从镶嵌上宝石。,40097,,10096,10099,镶嵌1级宝石,小主，多谢小主体恤奴婢们，请为所有仆从镶嵌上宝石。,40097,,
强化（2）,10099,,,,,10097,10100,强化（2）,小主体力不是特别良好，请小主赶紧强化自己吧。,40098,,10097,10100,强化（2）,小主体力不是特别良好，请小主赶紧强化自己吧。,40098,,
剧情战斗第三章,10100,,,,,10099,10101,剧情战斗第三章,老奴恭迎小主，小主可是想继续了解娴妃娘娘过往，请打通剧情第三章全部关卡。,40101,,10099,10101,剧情战斗第三章,老奴恭迎小主，小主可是想继续了解娴妃娘娘过往，请打通剧情第三章全部关卡。,40101,,
礼单任务（2）,10101,,,,,10100,10102,礼单任务（2）,近日小主与各宫妃嫔罕有走动，请小主完成礼单任务拉进与后宫妃嫔的关系。,40102,,10100,10102,礼单任务（2）,近日小主与各宫妃嫔罕有走动，请小主完成礼单任务拉进与后宫妃嫔的关系。,40102,,
砍树（2）,10102,,,,,10101,10103,砍树（2）,小主在这后宫中已然小心翼翼，不知怎的还是得罪了贵妃娘娘，被罚来御花园砍树。,40103,,10101,10103,砍树（2）,小主在这后宫中已然小心翼翼，不知怎的还是得罪了贵妃娘娘，被罚来御花园砍树。,40103,,
除草（2）,10103,,,,,10102,10105,除草（2）,小主都已思过，然而贵妃依旧怒气不消，让小主再去除些杂草方可息怒。,40104,,10102,10105,除草（2）,小主都已思过，然而贵妃依旧怒气不消，让小主再去除些杂草方可息怒。,40104,,
收布（2）,10105,,,,,10103,10106,收布（2）,请小主收获已纺织好的布料吧！,40106,,10103,10106,收布（2）,请小主收获已纺织好的布料吧！,40106,,
采矿石（2),10106,,,,,10105,10107,采矿石（2), 请小主再去收取已经开采好的矿石吧！,40107,,10105,10107,采矿石（2), 请小主再去收取已经开采好的矿石吧！,40107,,
升级技能（2）,10107,,,,,10106,10108,升级技能（2）,小主，适时地提升自己的技能有助于自己在后宫中根深蒂固哦~,40108,,10106,10108,升级技能（2）,小主，适时地提升自己的技能有助于自己在后宫中根深蒂固哦~,40108,,
造装备（2）,10108,,,,,10107,10109,造装备（2）,俗话说的好，好马配好鞍，小主除了自身提升以外也要有好的装备相匹配。,40109,,10107,10109,造装备（2）,俗话说的好，好马配好鞍，小主除了自身提升以外也要有好的装备相匹配。,40109,,
战斗力（2）,10109,,,,,10108,10110,战斗力（2）,老奴恭迎小主，小主可是想继续了解娴妃娘娘过往，请打通剧情第四章全部关卡。,40111,,10108,10110,战斗力（2）,老奴恭迎小主，小主可是想继续了解娴妃娘娘过往，请打通剧情第四章全部关卡。,40111,,
剧情战斗第四章,10110,,,,,10109,10111,剧情战斗第四章,请小主努力提升战力吧！,40110,,10109,10111,剧情战斗第四章,请小主努力提升战力吧！,40110,,
聊天一次（2）,10111,,,,,10110,10112,聊天一次（2）,请小主在聊天综合频道中聊天，近日多与各位小主家聊聊天巩固一下感情。,40112,,10110,10112,聊天一次（2）,请小主在聊天综合频道中聊天，近日多与各位小主家聊聊天巩固一下感情。,40112,,
刷宝（2）,10112,,,,,10111,10113,刷宝（2）,小主，天降馅饼的好事情何不去拼拼手气，请小主前去任意剧情进行刷宝吧。,40113,,10111,10113,刷宝（2）,小主，天降馅饼的好事情何不去拼拼手气，请小主前去任意剧情进行刷宝吧。,40113,,
收10次蒲公英,10113,,,,,10112,10114,收10次蒲公英,听闻御花房又有新进贡的蒲公英，请小主移步御花房种植蒲公英。,40114,,10112,10114,收10次蒲公英,听闻御花房又有新进贡的蒲公英，请小主移步御花房种植蒲公英。,40114,,
合成我美人含笑,10114,,,,,10113,10115,合成我美人含笑,小主近日烦闷，可前去御花房种植美人含笑,40115,,10113,10115,合成我美人含笑,小主近日烦闷，可前去御花房种植美人含笑,40115,,
赠送好友美人含笑,10115,,,,,10114,10116,赠送好友美人含笑,小丫鬟给小主出主意，建议小主将插好的美人含笑送后宫小主。,40116,,10114,10116,赠送好友美人含笑,小丫鬟给小主出主意，建议小主将插好的美人含笑送后宫小主。,40116,,
拜访好友（2）,10116,,,,,10115,10117,拜访好友（2）,小主，近日多去各位小主家走走看看，拜访各位小主有助于巩固感情。,40117,,10115,10117,拜访好友（2）,小主，近日多去各位小主家走走看看，拜访各位小主有助于巩固感情。,40117,,
连理枝（2）,10117,,,,,10116,10118,连理枝（2）,在天愿作比翼鸟，在地愿为连理枝，小主可不要忘记了供养连理枝哦~,40118,,10116,10118,连理枝（2）,在天愿作比翼鸟，在地愿为连理枝，小主可不要忘记了供养连理枝哦~,40118,,
升级1个花盆（2）,10118,,,,,10117,10119,升级1个花盆（2）,小主，奴婢听闻升级花盆可大大缩短种植时间，还可以提高鲜花品质哦~,40119,,10117,10119,升级1个花盆（2）,小主，奴婢听闻升级花盆可大大缩短种植时间，还可以提高鲜花品质哦~,40119,,
进贡（2）,10119,,,,,10118,10120,进贡（2）,小主，皇上下旨各宫小主均需向西域亲王进贡珍宝。,40120,,10118,10120,进贡（2）,小主，皇上下旨各宫小主均需向西域亲王进贡珍宝。,40120,,
登陆第三天,10120,,,,,10119,10121,登陆第三天,小主，请您检查登陆三天哦~勤劳的小主才会讨太后欢心。,40202,,10119,10121,登陆第三天,小主，请您检查登陆三天哦~勤劳的小主才会讨太后欢心。,40202,,
种薰衣草,10121,,,,,10120,10122,种薰衣草,福伽姑姑传话来，近日太后睡眠不是太好，请小主种植薰衣草送去供太后早起使用。,40203,,10120,10122,种薰衣草,福伽姑姑传话来，近日太后睡眠不是太好，请小主种植薰衣草送去供太后早起使用。,40203,,
宝石（3）,10122,,,,,10121,10123,宝石（3）,小主，多谢小主体恤奴婢们，请为所有仆从镶嵌上2级宝石。,40200,,10121,10123,宝石（3）,小主，多谢小主体恤奴婢们，请为所有仆从镶嵌上2级宝石。,40200,,
强化（3）,10123,,,,,10122,10124,强化（3）,小主体力不是特别良好，请小主赶紧强化自己吧。,40201,,10122,10124,强化（3）,小主体力不是特别良好，请小主赶紧强化自己吧。,40201,,
剧情战斗第五章,10124,,,,,10123,10125,剧情战斗第五章,老奴恭迎小主，小主可是想继续了解娴妃娘娘过往，请打通剧情第五章全部关卡。,40204,,10123,10125,剧情战斗第五章,老奴恭迎小主，小主可是想继续了解娴妃娘娘过往，请打通剧情第五章全部关卡。,40204,,
礼单任务（3）,10125,,,,,10124,10126,礼单任务（3）,近日小主与各宫妃嫔罕有走动，请小主完成1件礼单任务拉进与后宫妃嫔的关系。,40205,,10124,10126,礼单任务（3）,近日小主与各宫妃嫔罕有走动，请小主完成1件礼单任务拉进与后宫妃嫔的关系。,40205,,
砍树（3）,10126,,,,,10125,10127,砍树（3）,小主在这后宫中已然小心翼翼，不知怎的还是得罪了贵妃娘娘，被罚来御花园砍树。,40206,,10125,10127,砍树（3）,小主在这后宫中已然小心翼翼，不知怎的还是得罪了贵妃娘娘，被罚来御花园砍树。,40206,,
除草（3）,10127,,,,,10126,10128,除草（3）,小主都已思过，然而贵妃依旧怒气不消，让小主再去除些杂草方可息怒。,40207,,10126,10128,除草（3）,小主都已思过，然而贵妃依旧怒气不消，让小主再去除些杂草方可息怒。,40207,,
收布（3）,10128,,,,,10127,10129,收布（3）,请小主收获已纺织好的布料吧！,40209,,10127,10129,收布（3）,请小主收获已纺织好的布料吧！,40209,,
采矿石（3),10129,,,,,10128,10130,采矿石（3), 请小主再去收取已经开采好的矿石吧！,40210,,10128,10130,采矿石（3), 请小主再去收取已经开采好的矿石吧！,40210,,
升级技能（3）,10130,,,,,10129,10131,升级技能（3）,小主，适时地提升自己的技能有助于自己在后宫中根深蒂固哦~,40211,,10129,10131,升级技能（3）,小主，适时地提升自己的技能有助于自己在后宫中根深蒂固哦~,40211,,
造装备（3）,10131,,,,,10130,10132,造装备（3）,俗话说的好，好马配好鞍，小主除了自身提升以外也要有好的装备相匹配。,40212,,10130,10132,造装备（3）,俗话说的好，好马配好鞍，小主除了自身提升以外也要有好的装备相匹配。,40212,,
剧情战斗第六章,10132,,,,,10131,10133,剧情战斗第六章,老奴恭迎小主，小主可是想继续了解娴妃娘娘过往，请打通剧情第六章全部关卡。,40213,,10131,10133,剧情战斗第六章,老奴恭迎小主，小主可是想继续了解娴妃娘娘过往，请打通剧情第六章全部关卡。,40213,,
战斗力（3）,10133,,,,,10132,10134,战斗力（3）,请小主努力提升战力吧！,40214,,10132,10134,战斗力（3）,请小主努力提升战力吧！,40214,,
聊天一次（3）,10134,,,,,10133,10135,聊天一次（3）,请小主在聊天综合频道中聊天，近日多与各位小主家聊聊天巩固一下感情。,40215,,10133,10135,聊天一次（3）,请小主在聊天综合频道中聊天，近日多与各位小主家聊聊天巩固一下感情。,40215,,
刷宝（3）,10135,,,,,10134,10136,刷宝（3）,小主，天降馅饼的好事情何不去拼拼手气，请小主前去任意剧情进行刷宝吧。,40216,,10134,10136,刷宝（3）,小主，天降馅饼的好事情何不去拼拼手气，请小主前去任意剧情进行刷宝吧。,40216,,
等级30级,10136,,,,,10135,10137,等级30级,等级越高，享有的权利越大，请小主努力升级吧！,40218,,10135,10137,等级30级,等级越高，享有的权利越大，请小主努力升级吧！,40218,,
种虞美人,10137,,,,,10136,10138,种虞美人,姑姑传话来，近日皇后娘娘格外喜欢虞美人，请小主种植一些虞美人讨皇后娘娘喜欢。,40217,,10136,10138,种虞美人,姑姑传话来，近日皇后娘娘格外喜欢虞美人，请小主种植一些虞美人讨皇后娘娘喜欢。,40217,,
拜访好友（3）,10138,,,,,10137,10139,拜访好友（3）,小主，近日多去各位小主家走走看看，拜访各位小主有助于巩固感情。,40220,,10137,10139,拜访好友（3）,小主，近日多去各位小主家走走看看，拜访各位小主有助于巩固感情。,40220,,
连理枝（3）,10139,,,,,10138,10140,连理枝（3）,在天愿作比翼鸟，在地愿为连理枝，小主可不要忘记了供养连理枝哦~,40221,,10138,10140,连理枝（3）,在天愿作比翼鸟，在地愿为连理枝，小主可不要忘记了供养连理枝哦~,40221,,
花盆（3）,10140,,,,,10139,10141,花盆（3）,小主，奴婢听闻升级花盆可大大缩短种植时间，还可以提高鲜花品质哦~,40222,,10139,10141,花盆（3）,小主，奴婢听闻升级花盆可大大缩短种植时间，还可以提高鲜花品质哦~,40222,,
进贡（2）,10141,,,,,10140,10142,进贡（2）,小主，皇上下旨各宫小主均需向西域亲王进贡珍宝。,40223,,10140,10142,进贡（2）,小主，皇上下旨各宫小主均需向西域亲王进贡珍宝。,40223,,
阵法（1）,10142,,,,,10141,10143,阵法（1）,小主，您战力提升极高，但阵法可以为小主继续锦上添花哦~,40224,,10141,10143,阵法（1）,小主，您战力提升极高，但阵法可以为小主继续锦上添花哦~,40224,,
修炼（1）,10143,,,,,10142,10144,修炼（1）,小主，勤能补拙，要多多修炼哦~,40225,,10142,10144,修炼（1）,小主，勤能补拙，要多多修炼哦~,40225,,
砸蛋（1）,10144,,,,,10143,10145,砸蛋（1）,小主，奴婢听闻宫中砸金蛋可爆出不少稀罕物件呢，小主快去试试吧！,40226,,10143,10145,砸蛋（1）,小主，奴婢听闻宫中砸金蛋可爆出不少稀罕物件呢，小主快去试试吧！,40226,,
派系任务（1）,10145,,,,,10144,10146,派系任务（1）,宫中妃嫔也是分派系的，强大的派系支持才是宫中强有力的依靠，小主快去派系中贡献一份力吧！,40227,,10144,10146,派系任务（1）,宫中妃嫔也是分派系的，强大的派系支持才是宫中强有力的依靠，小主快去派系中贡献一份力吧！,40227,,
登陆第四天,10146,,,,,10145,10147,登陆第四天,小主，请您检查登陆四天哦~勤劳的小主才会讨太后欢心。,40300,,10145,10147,登陆第四天,小主，请您检查登陆四天哦~勤劳的小主才会讨太后欢心。,40300,,
种薰衣草,10147,,,,,10146,10148,种薰衣草,福伽姑姑传话来，近日太后睡眠不是太好，请小主种植薰衣草送去供太后早起使用。,40301,,10146,10148,种薰衣草,福伽姑姑传话来，近日太后睡眠不是太好，请小主种植薰衣草送去供太后早起使用。,40301,,
宝石（4）,10148,,,,,10147,10149,宝石（4）,小主，多谢小主体恤奴婢们，请为所有仆从镶嵌上宝石。,40302,,10147,10149,宝石（4）,小主，多谢小主体恤奴婢们，请为所有仆从镶嵌上宝石。,40302,,
强化（4）,10149,,,,,10148,10150,强化（4）,小主体力不是特别良好，请小主前去强化自己吧！,40303,,10148,10150,强化（4）,小主体力不是特别良好，请小主前去强化自己吧！,40303,,
礼单任务（4）,10150,,,,,10149,10151,礼单任务（4）,近日小主与各宫妃嫔罕有走动，请小主完成礼单任务拉进与后宫妃嫔的关系。,40304,,10149,10151,礼单任务（4）,近日小主与各宫妃嫔罕有走动，请小主完成礼单任务拉进与后宫妃嫔的关系。,40304,,
砍树（4）,10151,,,,,10150,10152,砍树（4）,小主在这后宫中已然小心翼翼，不知怎的还是得罪了贵妃娘娘，被罚来御花园砍树。,40305,,10150,10152,砍树（4）,小主在这后宫中已然小心翼翼，不知怎的还是得罪了贵妃娘娘，被罚来御花园砍树。,40305,,
除草（4）,10152,,,,,10151,10153,除草（4）,小主都已思过，然而贵妃依旧怒气不消，让小主再去除些杂草方可息怒。,40306,,10151,10153,除草（4）,小主都已思过，然而贵妃依旧怒气不消，让小主再去除些杂草方可息怒。,40306,,
收布（4）,10153,,,,,10152,10154,收布（4）,请小主收获已纺织好的布料吧！,40307,,10152,10154,收布（4）,请小主收获已纺织好的布料吧！,40307,,
采矿石（4）,10154,,,,,10153,10155,采矿石（4）, 请小主再去收取已经开采好的矿石吧！,40308,,10153,10155,采矿石（4）, 请小主再去收取已经开采好的矿石吧！,40308,,
升级技能（4）,10155,,,,,10154,10156,升级技能（4）,小主，适时地提升自己的技能有助于自己在后宫中根深蒂固哦~,40309,,10154,10156,升级技能（4）,小主，适时地提升自己的技能有助于自己在后宫中根深蒂固哦~,40309,,
造装备（4）,10156,,,,,10155,10157,造装备（4）,俗话说的好，好马配好鞍，小主除了自身提升以外也要有好的装备相匹配。,40310,,10155,10157,造装备（4）,俗话说的好，好马配好鞍，小主除了自身提升以外也要有好的装备相匹配。,40310,,
等级32级,10157,,,,,10156,10158,等级32级,等级越高，享有的权利越大，请小主努力升级吧！,40311,,10156,10158,等级32级,等级越高，享有的权利越大，请小主努力升级吧！,40311,,
剧情精英第五章,10158,,,,,10157,10159,剧情精英第五章,老奴恭迎小主，小主可是想继续了解娴妃娘娘过往，请打通剧情精英第五章全部关卡。,40312,,10157,10159,剧情精英第五章,老奴恭迎小主，小主可是想继续了解娴妃娘娘过往，请打通剧情精英第五章全部关卡。,40312,,
战斗力（4）,10159,,,,,10158,10160,战斗力（4）,请小主努力提升战力吧！,40313,,10158,10160,战斗力（4）,请小主努力提升战力吧！,40313,,
聊天一次（4）,10160,,,,,10159,10161,聊天一次（4）,请小主在聊天综合频道中聊天，近日多与各位小主家聊聊天巩固一下感情。,40314,,10159,10161,聊天一次（4）,请小主在聊天综合频道中聊天，近日多与各位小主家聊聊天巩固一下感情。,40314,,
刷宝（4）,10161,,,,,10160,10162,刷宝（4）,小主，天降馅饼的好事情何不去拼拼手气，请小主选择任意剧情前去刷宝哦。,40315,,10160,10162,刷宝（4）,小主，天降馅饼的好事情何不去拼拼手气，请小主选择任意剧情前去刷宝哦。,40315,,
种虞美人,10162,,,,,10161,10163,种虞美人,姑姑传话来，近日皇后娘娘格外喜欢虞美人，请小主种植一些虞美人讨皇后娘娘喜欢。,40316,,10161,10163,种虞美人,姑姑传话来，近日皇后娘娘格外喜欢虞美人，请小主种植一些虞美人讨皇后娘娘喜欢。,40316,,
拜访好友（4）,10163,,,,,10162,10164,拜访好友（4）,小主，近日多去各位小主家走走看看，拜访各位小主有助于巩固感情。,40317,,10162,10164,拜访好友（4）,小主，近日多去各位小主家走走看看，拜访各位小主有助于巩固感情。,40317,,
连理枝（4）,10164,,,,,10163,10165,连理枝（4）,在天愿作比翼鸟，在地愿为连理枝，小主可不要忘记了供养连理枝哦~,40318,,10163,10165,连理枝（4）,在天愿作比翼鸟，在地愿为连理枝，小主可不要忘记了供养连理枝哦~,40318,,
花盆（4）,10165,,,,,10164,10166,花盆（4）,小主，奴婢听闻升级花盆可大大缩短种植时间，还可以提高鲜花品质哦~,40319,,10164,10166,花盆（4）,小主，奴婢听闻升级花盆可大大缩短种植时间，还可以提高鲜花品质哦~,40319,,
进贡（3）,10166,,,,,10165,10167,进贡（3）,小主，皇上下旨各宫小主均需向西域亲王进贡珍宝。,40320,,10165,10167,进贡（3）,小主，皇上下旨各宫小主均需向西域亲王进贡珍宝。,40320,,
阵法（2）,10167,,,,,10166,10168,阵法（2）,小主，您战力提升极高，但阵法可以为小主继续锦上添花哦~,40321,,10166,10168,阵法（2）,小主，您战力提升极高，但阵法可以为小主继续锦上添花哦~,40321,,
修炼（2）,10168,,,,,10167,10169,修炼（2）,小主，勤能补拙，要多多修炼哦~,40322,,10167,10169,修炼（2）,小主，勤能补拙，要多多修炼哦~,40322,,
砸蛋（2）,10169,,,,,10168,10170,砸蛋（2）,小主，奴婢听闻宫中砸金蛋可爆出不少稀罕物件呢，小主快去试试吧！,40323,,10168,10170,砸蛋（2）,小主，奴婢听闻宫中砸金蛋可爆出不少稀罕物件呢，小主快去试试吧！,40323,,
派系任务（2）,10170,,,,,10169,10171,派系任务（2）,宫中妃嫔也是分派系的，强大的派系支持才是宫中强有力的依靠，小主快去派系中贡献一份力吧！,40324,,10169,10171,派系任务（2）,宫中妃嫔也是分派系的，强大的派系支持才是宫中强有力的依靠，小主快去派系中贡献一份力吧！,40324,,
精炼（1),10171,,,,,10170,10172,精炼（1),精炼装备可大大提神装备属性，这才配得上小主尊贵的地位。,40325,,10170,10172,精炼（1),精炼装备可大大提神装备属性，这才配得上小主尊贵的地位。,40325,,
登陆第五天,10172,,,,,10171,10173,登陆第五天,小主，请您检查登陆五天哦~勤劳的小主才会讨太后欢心。,40400,,10171,10173,登陆第五天,小主，请您检查登陆五天哦~勤劳的小主才会讨太后欢心。,40400,,
宝石（5）,10173,,,,,10172,10174,宝石（5）,小主，多谢小主体恤奴婢们，请为所有仆从镶嵌上宝石。,40402,,10172,10174,宝石（5）,小主，多谢小主体恤奴婢们，请为所有仆从镶嵌上宝石。,40402,,
强化（5）,10174,,,,,10173,10175,强化（5）,小主体力不是特别良好，请小主前去强化自己吧！,40403,,10173,10175,强化（5）,小主体力不是特别良好，请小主前去强化自己吧！,40403,,
礼单任务（5）,10175,,,,,10174,10176,礼单任务（5）,近日小主与各宫妃嫔罕有走动，请小主完成礼单任务拉进与后宫妃嫔的关系。,40404,,10174,10176,礼单任务（5）,近日小主与各宫妃嫔罕有走动，请小主完成礼单任务拉进与后宫妃嫔的关系。,40404,,
砍树（5）,10176,,,,,10175,10177,砍树（5）,小主在这后宫中已然小心翼翼，不知怎的还是得罪了贵妃娘娘，被罚来御花园砍树。,40405,,10175,10177,砍树（5）,小主在这后宫中已然小心翼翼，不知怎的还是得罪了贵妃娘娘，被罚来御花园砍树。,40405,,
除草（5）,10177,,,,,10176,10178,除草（5）,小主都已思过，然而贵妃依旧怒气不消，让小主再去除些杂草方可息怒。,40406,,10176,10178,除草（5）,小主都已思过，然而贵妃依旧怒气不消，让小主再去除些杂草方可息怒。,40406,,
收布（5）,10178,,,,,10177,10179,收布（5）,请小主收获已纺织好的布料吧！,40407,,10177,10179,收布（5）,请小主收获已纺织好的布料吧！,40407,,
采矿石（5）,10179,,,,,10178,10180,采矿石（5）, 请小主再去收取已经开采好的矿石吧！,40408,,10178,10180,采矿石（5）, 请小主再去收取已经开采好的矿石吧！,40408,,
升级技能（5）,10180,,,,,10179,10181,升级技能（5）,小主，适时地提升自己的技能有助于自己在后宫中根深蒂固哦~,40409,,10179,10181,升级技能（5）,小主，适时地提升自己的技能有助于自己在后宫中根深蒂固哦~,40409,,
造装备（5）,10181,,,,,10180,10182,造装备（5）,俗话说的好，好马配好鞍，小主除了自身提升以外也要有好的装备相匹配。,40410,,10180,10182,造装备（5）,俗话说的好，好马配好鞍，小主除了自身提升以外也要有好的装备相匹配。,40410,,
等级35级,10182,,,,,10181,10183,等级35级,等级越高，享有的权利越大，请小主努力升级吧！,40411,,10181,10183,等级35级,等级越高，享有的权利越大，请小主努力升级吧！,40411,,
剧情战斗第七章,10183,,,,,10182,10184,剧情战斗第七章,老奴恭迎小主，小主可是想继续了解娴妃娘娘过往，请打通剧情第七章全部关卡。,40412,,10182,10184,剧情战斗第七章,老奴恭迎小主，小主可是想继续了解娴妃娘娘过往，请打通剧情第七章全部关卡。,40412,,
战斗力（5）,10184,,,,,10183,10185,战斗力（5）,请小主努力提升战力吧！,40413,,10183,10185,战斗力（5）,请小主努力提升战力吧！,40413,,
聊天一次（5）,10185,,,,,10184,10186,聊天一次（5）,请小主在聊天综合频道中聊天，近日多与各位小主家聊聊天巩固一下感情。,40414,,10184,10186,聊天一次（5）,请小主在聊天综合频道中聊天，近日多与各位小主家聊聊天巩固一下感情。,40414,,
刷宝（5）,10186,,,,,10185,10187,刷宝（5）,小主，天降馅饼的好事情何不去拼拼手气，请小主选择任意剧情前去刷宝哦。,40415,,10185,10187,刷宝（5）,小主，天降馅饼的好事情何不去拼拼手气，请小主选择任意剧情前去刷宝哦。,40415,,
种雏菊,10187,,,,,10186,10188,种雏菊,小主，奴婢听说近日皇上专宠贵妃只因暖阁内种植了雏菊，请小主种植一些雏菊来吸引皇上。,40416,,10186,10188,种雏菊,小主，奴婢听说近日皇上专宠贵妃只因暖阁内种植了雏菊，请小主种植一些雏菊来吸引皇上。,40416,,
拜访好友（5）,10188,,,,,10187,10189,拜访好友（5）,小主，近日多去各位小主家走走看看，拜访各位小主有助于巩固感情。,40417,,10187,10189,拜访好友（5）,小主，近日多去各位小主家走走看看，拜访各位小主有助于巩固感情。,40417,,
连理枝（5）,10189,,,,,10188,10190,连理枝（5）,在天愿作比翼鸟，在地愿为连理枝，小主可不要忘记了供养连理枝哦~,40418,,10188,10190,连理枝（5）,在天愿作比翼鸟，在地愿为连理枝，小主可不要忘记了供养连理枝哦~,40418,,
花盆（5）,10190,,,,,10189,10191,花盆（5）,小主，奴婢听闻升级花盆可大大缩短种植时间，还可以提高鲜花品质哦~,40419,,10189,10191,花盆（5）,小主，奴婢听闻升级花盆可大大缩短种植时间，还可以提高鲜花品质哦~,40419,,
进贡（4）,10191,,,,,10190,10192,进贡（4）,小主，皇上下旨各宫小主均需向西域亲王进贡珍宝。,40420,,10190,10192,进贡（4）,小主，皇上下旨各宫小主均需向西域亲王进贡珍宝。,40420,,
阵法（3）,10192,,,,,10191,10193,阵法（3）,小主，您战力提升极高，但阵法可以为小主继续锦上添花哦~,40421,,10191,10193,阵法（3）,小主，您战力提升极高，但阵法可以为小主继续锦上添花哦~,40421,,
